Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chest,-0.0001211613481327,0.00327457412975664,-0.0250578458337959,0,0,0,0.531912778600973,0.000383892000224428,1.21321138119047E-09,3.01696273983852E-07,0.000444133944054918,-2.70915050863183E-06,0.000294281860299723,0,0,0,0,0,0,package://left_arm/meshes/chest.STL,1,1,1,1,0,0,0,0,0,0,package://left_arm/meshes/chest.STL,,chest20191022胸腔装配体-1/chest20240522IMU-1;chest20191022胸腔装配体-1/chest20191022颈部垫片-1;chest20191022胸腔装配体-1/chest20240522新IMU支架-1;chest20191022胸腔装配体-1/chest20191022胸前缓冲块支架-2;chest20191022胸腔装配体-1/chest20191022MX-106FLANGE-2;chest20191022胸腔装配体-1/chest20191022肩部连轴器后盖一-1;chest20191022胸腔装配体-1/chest20191022肩膀联轴器-2;chest20191022胸腔装配体-1/chest20191022肩膀联轴器-1;chest20191022胸腔装配体-1/chest20191022肩部电机键一-1;chest20191022胸腔装配体-1/chest20191022胸前缓冲块支架-1;chest20191022胸腔装配体-1/chest20191022肩部连轴前盖一-2;chest20191022胸腔装配体-1/chest20191022新前盖(for碳纤)-1;chest20191022胸腔装配体-1/chest20191022MX-106FLANGE-3;chest20191022胸腔装配体-1/chest20231107胸前缓冲块_新-1;chest20191022胸腔装配体-1/chest20230428肩部联轴器后盖连接件-新-1;chest20191022胸腔装配体-1/chest20191022电池挡板-1;chest20191022胸腔装配体-1/chest20191022肩部连轴前盖一-3;chest20191022胸腔装配体-1/chest20231107胸前缓冲块_新-2;chest20191022胸腔装配体-1/chest20191022短天线-2;chest20191022胸腔装配体-1/chest20191022腰部安装连接板简化-2;chest20191022胸腔装配体-1/chest20191022矩形连接件-5;chest20191022胸腔装配体-1/chest20191022矩形连接件-4;chest20191022胸腔装配体-1/chest20191022胸腔侧板3.0（12-13）-2;chest20191022胸腔装配体-1/镜向chest20230428肩部联轴器后盖连接件-新-2;chest20191022胸腔装配体-1/chest20191022矩形连接件-6;chest20191022胸腔装配体-1/chest20191022肩部电机键一-2;chest20191022胸腔装配体-1/chest20191022肩部连轴器后盖一-2;chest20191022胸腔装配体-1/chest20191022开关支架-1;chest20191022胸腔装配体-1/chest20191022短天线-1;chest20191022胸腔装配体-1/chest20191022把手装配体12-26-1;chest20191022胸腔装配体-1/chest20191022腰部安装连接板简化-1;chest20191022胸腔装配体-1/chest20191022后盖12-20-1;chest20191022胸腔装配体-1/chest20191022矩形连接件-3;chest20191022胸腔装配体-1/chest20191022胸腔侧板3.0（12-13）-1;chest20191022胸腔装配体-1/chest20191022矩形连接件-2;chest20191022胸腔装配体-1/chest20191022矩形连接件-1;chest20191022胸腔装配体-1/chest20191022头部云台12-10-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_shoulder,3.4807E-09,-0.0017709,-0.00095189,0,0,0,0.044031,1.2764E-05,1.8647E-11,-1.5388E-11,1.693E-05,5.5264E-07,1.0975E-05,0,0,0,0,0,0,package://left_arm/meshes/left_shoulder.STL,1,1,1,1,0,0,0,0,0,0,package://left_arm/meshes/left_shoulder.STL,,arm20221209新左手臂装配体-1/arm20231018护肩-1;arm20221209新左手臂装配体-1/arm20231018新肩膀连接板-2;arm20221209新左手臂装配体-1/arm20231018新肩膀连接件-1;arm20221209新左手臂装配体-1/arm20231018新肩膀连接板-1,Origin_left_arm_upper,Axis_left_arm_upper,left_arm_upper,fixed,-0.103502634219692,0.00416746931816645,0.0134,2.18152229118412,1.5707963267949,0,chest,0,0,0,,,,,,,,,,,,
left_arm,2.8453E-05,-0.029285,0.00020037,0,0,0,0.14644,5.852E-05,1.1014E-07,6.2608E-11,3.6597E-05,-2.025E-07,5.2957E-05,0,0,0,0,0,0,package://left_arm/meshes/left_arm.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://left_arm/meshes/left_arm.STL,,arm20221209新左手臂装配体-1/MX-64双法兰装配体-1/MX-64motor-1;arm20221209新左手臂装配体-1/arm20231018上臂连接件-1;arm20221209新左手臂装配体-1/MX-28双法兰装配体-1/MX-28motor-1;arm20221209新左手臂装配体-1/MX-64双法兰装配体-1/MX-64-106前法兰-1;arm20221209新左手臂装配体-1/MX-64双法兰装配体-1/MX-64-106后法兰-1,Origin_left_arm_middle,Axis_left_arm_middle,left_arm_middle,fixed,0,-0.0241430970576075,0.0348343038500071,-1.57079632679489,-0.610725964389222,1.5707963267949,left_shoulder,0,0,0,,,,,,,,,,,,
left_hand,0.051671,0.015457,-0.0014073,0,0,0,0.06427,1.2951E-05,-2.5065E-06,3.8138E-07,5.8741E-05,-1.7885E-12,6.1018E-05,0,0,0,0,0,0,package://left_arm/meshes/left_hand.STL,1,1,1,1,0,0,0,0,0,0,package://left_arm/meshes/left_hand.STL,,arm20221209新左手臂装配体-1/arm20231018小臂侧板-1;arm20221209新左手臂装配体-1/arm20231018下臂连接件-1;arm20221209新左手臂装配体-1/arm20231018新小臂-1;arm20221209新左手臂装配体-1/arm20231018手掌-2;arm20221209新左手臂装配体-1/MX-28双法兰装配体-1/MX-28前法兰-1;arm20221209新左手臂装配体-1/MX-28双法兰装配体-1/MX-28后法兰-1,Origin_left_arm_lower,Axis_left_arm_lower,left_arm_lower,fixed,0.0247500000000004,-0.11005,0.122,1.5707963267949,1.5707963267949,0,left_arm,0,0,0,,,,,,,,,,,,
